OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent,isRTO
2545643,649385,229,MPD                 ,Dhaka (Outside City),android,normal,0,6/17/2019 11:47,6/17/2019 7:25,No,No,No
2545639,943939,199,MPS                 ,Dhaka (Outside City),android,normal,25,6/17/2019 11:46,6/17/2019 5:53,No,Yes,No
2545637,837189,181,ADC                 ,Satkhira,android,express,35,6/17/2019 11:44,6/17/2019 5:46,No,No,No
2545634,882282,218,MPD                 ,Lalmonirhat,android,normal,55,6/17/2019 11:42,6/17/2019 5:51,No,Yes,Yes
2545631,929860,159,MPS                 ,Narayanganj,android,express,35,6/17/2019 11:41,6/17/2019 5:45,No,No,No
2545630,595688,432,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 11:41,6/17/2019 5:41,No,No,No
2545628,793963,270,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:40,6/17/2019 5:39,No,No,No
2545623,956589,1369,MPD                 ,Dhaka,desktop,normal,100,6/17/2019 11:37,6/17/2019 7:58,Yes,No,No
2545622,938297,169,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:36,6/17/2019 5:35,No,Yes,No
2545618,677664,470,MPD                 ,Gazipur,android,normal,55,6/17/2019 11:35,6/17/2019 5:34,No,Yes,No
2545615,386006,190,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:32,6/17/2019 5:32,No,Yes,No
2545605,938297,146,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:25,6/17/2019 5:25,No,Yes,No
2545588,955588,250,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 11:15,6/17/2019 5:41,Yes,No,No
2545587,955588,120,MPD                 ,Dhaka,desktop,normal,35,6/17/2019 11:15,6/17/2019 5:41,Yes,Yes,No
2545586,938297,206,MPD                 ,Dhaka,android,normal,25,6/17/2019 11:15,6/17/2019 5:14,No,Yes,No
2545585,249786,185,MPD                 ,Dhaka,desktop,normal,35,6/17/2019 11:15,6/17/2019 5:14,No,Yes,Yes
2545582,638058,1011,MPD                 ,Dinajpur,android,normal,55,6/17/2019 11:13,6/17/2019 7:43,No,Yes,No
2545581,957002,185,MPD                 ,Chittagong City,android,normal,55,6/17/2019 11:12,6/17/2019 6:52,No,No,No
2545578,589787,199,ADC                 ,Dhaka,android,normal,25,6/17/2019 11:06,6/17/2019 5:12,No,No,No
2545574,956752,0,MPD                 ,Rajshahi City,android,normal,0,6/17/2019 11:03,6/17/2019 5:09,Yes,Yes,No
2545573,956752,150,MPD                 ,Rajshahi City,android,normal,55,6/17/2019 11:03,6/17/2019 5:09,Yes,Yes,No
2545571,956451,230,MPD                 ,Gazipur,android,normal,55,6/17/2019 11:03,6/17/2019 5:06,No,No,No
2545569,939491,850,MPD                 ,Kushtia,desktop,normal,65,6/17/2019 10:58,6/17/2019 5:03,No,No,No
2545558,956987,210,MPD                 ,Narayanganj,android,normal,0,6/17/2019 10:54,6/17/2019 4:58,Yes,No,No
2545557,956987,318,MPD                 ,Narayanganj,android,normal,0,6/17/2019 10:54,6/17/2019 4:58,Yes,Yes,No
2545556,956987,99,MPD                 ,Narayanganj,android,normal,0,6/17/2019 10:54,6/17/2019 4:58,Yes,Yes,No
2545555,956987,199,MPD                 ,Narayanganj,android,normal,55,6/17/2019 10:54,6/17/2019 4:58,Yes,Yes,No
2545550,952714,135,MPD                 ,Dhaka,android,normal,25,6/17/2019 10:51,6/17/2019 5:33,No,Yes,No
2545549,956990,274,MPD                 ,Thakurgaon,mobile-site,express,0,6/17/2019 10:50,6/17/2019 5:37,Yes,No,No
2545548,956990,185,MPD                 ,Thakurgaon,mobile-site,express,75,6/17/2019 10:50,6/17/2019 5:37,Yes,No,No
2545535,842189,125,MPD                 ,Comilla,android,normal,55,6/17/2019 10:46,6/17/2019 4:49,Yes,Yes,No
2545534,956982,140,MPD                 ,Dhaka (Outside City),android,normal,55,6/17/2019 10:46,6/17/2019 7:59,No,Yes,No
2545531,922277,270,MPD                 ,Gazipur,android,normal,55,6/17/2019 10:42,6/17/2019 15:13,No,No,No
2545530,956174,319,MPD                 ,Dhaka,android,normal,0,6/17/2019 10:39,6/17/2019 4:44,Yes,No,No
